N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
207,191,180,169,156,157,163,175,105,128
96,106,166,146,128,175,175,142,156,142
101,169,156,186,128,223,239,194,181,181
160,170,220,170,170,180,170,200,190,150
200,180,186,207,212,197,235,202,197,197
200,180,186,207,212,197,235,202,197,197
180,209,147,166,173,183,95,209,221,191
184,189,203,198,197,221,207,186,169,207
207,207,207,206,207,207,207,209,207,208
247,247,221,217,197,156,156,175,247,186
186,230,201,206,216,239,235,156,191,221
169,172,194,179,177,192,221,216,179,197
190,140,180,110,140,60,130,140,200,110
119,156,212,156,156,191,180,175,135,163
180,201,180,220,201,210,210,201,210,190
202,146,150,163,212,156,186,163,230,186
196,162,186,214,156,186,188,191,168,165
101,228,160,177,178,186,176,190,181,170
225,234,156,174,216,230,196,221,216,201
119,156,127,142,174,162,149,162,201,196
160,200,150,140,140,170,200,170,220,190
239,180,149,142,127,196,221,225,202,207
172,132,166,186,243,186,209,128,169,178
195,175,160,145,150,165,220,235,230,210
228,192,169,197,181,235,216,207,226,197
160,182,206,183,216,156,163,142,177,142
243,221,226,192,186,212,221,199,197,197
247,194,142,218,202,216,149,180,156,191
175,156,207,111,175,197,181,211,197,217
207,207,221,226,175,175,204,212,143,189
191,169,156,169,174,191,186,169,174,127
175,156,186,135,162,142,175,169,166,119
169,196,110,119,149,119,110,162,142,156
180,127,196,191,169,127,180,186,174,135
220,130,170,160,150,170,270,190,160,170
156,159,162,165,164,162,164,156,161,156
221,191,196,169,119,119,135,78,162,186
156,128,120,128,192,212,170,192,170,120
202,192,230,243,202,175,183,150,128,119
156,163,175,150,181,143,150,153,147,145
127,162,188,142,199,191,194,213,194,201
202,192,230,243,202,175,183,150,128,119
180,135,174,142,186,206,174,225,156,191
219,221,232,230,208,203,198,206,217,209
181,175,156,186,135,162,226,202,175,169
235,192,221,197,202,202,226,192,197,143
180,174,168,180,206,178,127,110,142,142
191,211,196,162,186,186,168,156,78,135
180,168,172,166,161,171,178,176,183,170
164,205,187,200,236,236,204,220,200,220
174,212,226,172,163,146,175,106,226,156
194,196,184,208,169,155,175,180,168,204
71,221,186,162,162,162,174,127,159,162
194,188,175,191,156,166,135,90,162,192
239,216,216,243,186,202,207,202,202,234
225,225,216,174,201,142,186,201,186,211
180,169,156,169,197,184,175,178,163,163
221,149,202,156,169,180,127,142,174,207
196,239,216,211,162,191,156,211,186,202
143,187,156,138,204,174,134,163,220,129
180,204,196,207,230,235,217,221,207,192
237,342,272,238,278,259,336,275,289,290
159,219,228,214,240,228,159,161,148,126
127,153,206,174,188,196,171,201,188,201
128,163,136,181,156,186,169,175,202,186
223,246,242,151,216,307,237,239,302,266
160,140,170,220,120,230,200,220,150,180
174,162,197,142,169,207,216,149,169,216
76,153,141,199,153,217,202,204,159,223
178,142,163,192,135,142,163,207,156,186
180,156,169,175,186,175,162,180,191,143
169,181,124,119,90,181,156,237,226,247
207,212,175,216,216,212,197,221,197,202
135,142,186,162,186,119,162,196,202,162
219,186,202,197,194,221,230,197,206,226
210,191,206,218,184,190,204,196,199,197
142,138,156,149,169,202,174,180,186,186
202,180,219,194,139,186,221,178,156,186
135,128,119,135,143,128,150,119,156,128
175,186,196,156,180,149,163,156,142,149
169,169,163,150,181,202,175,197,143,181
216,212,181,216,202,226,240,181,197,216
181,169,197,197,192,219,186,207,202,181
186,180,149,162,156,174,162,201,201,206
246,242,178,209,173,178,184,154,200,189
184,173,173,200,178,173,167,189,184,173
180,162,156,168,186,243,230,156,168,201
243,191,201,243,149,174,206,162,243,168
184,169,163,184,150,181,192,217,156,175
169,148,169,180,196,211,156,202,174,186
207,199,197,175,205,237,213,177,220,197
210,207,202,156,186,199,191,146,169,191
172,243,189,219,223,181,156,166,181,202
135,149,124,114,95,136,116,103,119,114
180,175,150,192,181,175,169,156,163,169
188,156,164,174,131,179,164,159,174,149
169,173,143,55,172,190,183,165,197,189
180,191,201,135,156,174,156,142,191,186
174,221,127,186,156,239,191,162,186,211
186,191,202,162,156,162,127,127,169,135
255,253,243,241,247,269,237,222,235,237
201,190,211,216,201,191,180,186,168,174
239,226,181,175,202,207,192,207,186,186
156,223,216,212,202,212,212,186,202,197
181,181,202,230,235,217,163,163,150,230
163,178,162,156,196,212,179,247,234,175
128,141,120,221,218,119,135,184,120,180
202,198,198,121,187,183,243,233,238,211
156,162,191,186,186,247,202,211,202,247
201,180,225,186,225,186,186,196,180,196
196,178,149,145,156,202,210,195,180,212
216,201,211,206,196,201,234,232,186,196
230,196,221,142,135,225,225,206,230,206
156,162,135,180,174,196,211,201,225,221
223,148,232,134,148,228,223,189,228,236
216,174,191,180,202,174,225,211,211,234
135,142,127,162,186,211,202,191,196,207
175,135,141,119,156,156,181,163,157,169
207,197,189,216,156,216,191,183,191,216
101,180,203,198,173,110,118,156,150,110
200,110,166,101,142,220,201,184,207,170
180,225,180,180,186,174,230,156,162,196
162,149,180,202,135,202,149,110,142,186
156,197,143,226,212,197,175,163,181,197
197,143,175,181,156,197,197,186,202,175
197,197,186,202,175,197,143,175,181,156
198,196,187,179,189,177,199,204,193,189
135,162,156,162,143,143,156,150,170,143
163,169,175,221,163,196,216,191,243,247
192,216,206,201,216,143,201,156,206,78
209,145,189,211,207,217,184,169,193,203
209,145,189,211,207,217,184,169,193,203
195,211,197,188,199,242,201,231,233,213
202,196,230,186,186,216,211,243,186,239
198,198,187,202,213,212,238,201,209,231
219,192,136,181,189,224,158,169,217,197
140,178,155,172,126,124,148,136,170,165
169,182,174,156,162,221,162,174,196,186
158,183,197,213,224,188,164,190,202,234
175,169,186,191,197,172,189,165,197,169
174,168,119,206,162,142,201,201,127,162
181,156,192,186,149,163,142,191,142,156
234,162,202,186,191,234,202,196,243,247
234,196,174,169,207,186,180,196,180,162
216,162,202,174,169,225,191,191,174,162
169,181,192,186,156,150,163,181,169,156
186,216,247,216,230,149,211,211,225,216
414,414,341,489,264,264,264,183,183,341
206,194,212,191,182,198,226,247,170,226
176,188,149,166,190,141,151,162,120,188
156,135,162,127,156,119,162,169,142,149
120,260,135,150,125,300,200,190,200,210
176,180,186,187,199,188,157,151,164,165
230,200,190,230,240,160,200,180,190,140
200,173,209,200,194,141,134,173,161,184
197,222,195,174,177,214,245,196,210,198
129,209,223,186,174,225,202,174,78,202
230,206,174,180,206,206,225,238,206,174
186,143,212,186,230,212,221,221,197,221
236,285,249,210,267,223,235,179,300,212
174,191,234,127,191,230,191,211,156,196
219,241,225,207,233,213,218,191,247,208
184,214,232,194,219,200,289,154,161,219
207,184,211,169,193,145,203,189,209,217
26,13,23,0,19,27,17,28,16,24
150,143,45,192,146,124,186,212,163,217
239,221,175,186,202,186,226,175,143,197
196,201,196,196,186,201,168,174,135,216
201,186,201,186,180,162,196,180,149,78
150,143,45,192,146,124,186,212,163,217
230,163,217,0,197,235,186,239,181,221
175,169,181,202,186,186,163,175,175,186
154,154,167,154,154,130,209,141,173,161
90,127,100,238,168,149,191,127,100,127
100,174,168,162,119,100,156,78,162,78
172,143,153,160,132,211,139,100,186,156
142,135,225,156,191,156,168,191,156,142
211,168,180,234,180,221,100,201,180,191
209,230,192,160,212,186,219,181,245,239
212,175,209,197,163,212,226,221,156,214
192,192,221,166,212,212,186,186,175,199
180,156,169,175,186,175,162,180,191,143
138,126,157,163,95,104,203,158,176,185
169,202,174,180,207,191,216,149,110,163
149,174,191,196,156,191,225,206,146,171
156,135,142,142,123,162,196,168,162,156
212,192,181,181,135,207,255,207,202,217
115,64,90,143,120,90,101,115,78,106
207,231,195,201,210,13,201,227,199,202
205,209,200,201,228,192,201,208,201,202
170,158,156,173,166,156,146,143,175,151
166,156,169,164,155,146,156,171,164,153
207,231,195,201,210,183,201,227,199,202
166,163,156,181,135,166,183,146,223,175
220,210,240,180,200,220,180,180,230,200
169,163,175,181,197,230,128,169,150,156
219,163,247,247,186,175,184,178,186,175
270,234,278,211,211,238,298,214,220,223
186,139,142,162,115,131,101,78,71,131
128,108,119,192,173,98,127,115,132,137
213,166,172,181,177,157,173,171,172,170
169,135,128,132,143,202,169,163,180,175
169,216,180,180,186,78,174,162,160,186
100,174,168,162,119,100,156,78,162,78
180,175,187,179,203,191,216,207,186,208
200,210,130,150,10,125,95,175,130,150
174,186,213,746,187,151,207,186,67,247
212,221,181,202,169,143,175,175,135,169
150,111,111,111,111,111,111,111,111,111
